epoch,accuracy,tc_sum,phi,tc_step_1,tc_step_2,tc_step_3
1,0.697265625,38.176834695739615,0.0,14.55801331836361,11.701731424066464,11.917089953309542
2,0.830078125,33.341071418535314,0.0,13.303534289868526,10.217890435108767,9.819646693558022
3,0.8525390625,30.45335069680432,0.0,10.900324716229067,9.879537138817213,9.673488841758044
4,0.8857421875,28.4814636783989,0.0,9.716105719705014,9.378481685027607,9.386876273666278
5,0.9033203125,27.27866000368077,0.0,9.26063863793653,8.920299334190728,9.097722031553511
6,0.9111328125,26.465243101840038,0.0,8.912183787292735,8.552279806856518,9.000779507690785
7,0.919921875,26.020795150081558,0.0,8.74343718673107,8.468236819820238,8.80912114353025
8,0.9228515625,25.541878309089114,0.0,8.502077293462136,8.320728250718549,8.719072764908427
9,0.927734375,25.34185168298307,0.0,8.409621202165248,8.225623868334496,8.706606612483323
10,0.92578125,24.480958841938765,0.0,8.301189470349286,7.896998796605541,8.28277057498394
11,0.9306640625,24.339765132044203,0.0,8.240115408935758,7.860867875973105,8.238781847135341
12,0.927734375,23.928543977849944,0.0,8.199767613493014,7.689134581686983,8.039641782669948
13,0.9326171875,23.655543528531634,0.0,8.161961323808278,7.714097258845814,7.779484945877543
14,0.9345703125,23.159207906594723,0.0,8.158997588490084,7.3825857651997255,7.617624552904913
15,0.9296875,22.914911726023007,0.0,8.117125538904599,7.394842488784369,7.402943698334039
16,0.9384765625,22.7107486390453,0.0,8.165431169614402,7.230134179493747,7.31518328993715
17,0.93359375,22.56714101628986,0.0,8.148321491097917,7.231634264125606,7.187185261066338
18,0.935546875,22.58158740444854,0.0,8.148932229408326,7.225824599546836,7.206830575493381
19,0.9365234375,22.248013704974333,0.0,8.134824992147315,7.047199018325252,7.0659896945017655
20,0.9384765625,22.10322945765322,0.0,8.132121547198544,7.0145167819811745,6.956591128473504
21,0.9384765625,22.000256394066867,0.0,8.149591805040949,6.927168081886953,6.923496507138965
22,0.935546875,22.19838126352689,0.0,8.16134300598647,7.021964802004301,7.015073455536119
23,0.9384765625,21.85057471616817,0.0,8.150860451267416,6.854455469418829,6.845258795481925
24,0.9423828125,21.786244415026477,0.0,8.20809138364476,6.776484864106562,6.801668167275155
25,0.9384765625,21.763658603485414,0.0,8.228523815548625,6.770736456258335,6.764398331678453
26,0.94140625,21.36231029838695,0.0,8.215070274196515,6.5929017104521,6.554338313738337
27,0.9365234375,21.628860275524993,0.0,8.231460077152107,6.711004643534885,6.686395554838001
28,0.9375,21.410181833748855,0.0,8.237228269709885,6.632610392162627,6.540343171876343
29,0.9375,21.218024148189286,0.0,8.204388772683117,6.593409822138853,6.420225553367315
30,0.9384765625,20.95525514926741,0.0,8.312270394199462,6.379790715469363,6.2631940395985835
31,0.93359375,21.053612081022127,0.0,8.316096263075593,6.443953391976692,6.293562425969841
32,0.9423828125,21.310512553334547,0.0,8.334494113525182,6.532099067912057,6.443919371897308
33,0.9404296875,21.08816398425291,0.0,8.276925552900899,6.473017677495904,6.338220753856105
34,0.9365234375,20.724657411126582,0.0,8.306052941968638,6.3029093936857175,6.115695075472228
35,0.9384765625,20.59184417866352,0.0,8.269259268394839,6.276993749790966,6.045591160477716
36,0.931640625,20.713172265319493,0.0,8.323504010083324,6.287423108307861,6.1022451469283086
37,0.9384765625,20.939228980330345,0.0,8.331757659720386,6.345446034411809,6.262025286198148
38,0.9296875,20.965149574546064,0.0,8.229594265752299,6.468534980492911,6.267020328300855
39,0.9384765625,20.392780538788045,0.0,8.262130111250935,6.1474403577658405,5.9832100697712685
40,0.931640625,20.388549395282368,0.0,8.32559458594114,6.103021656734135,5.9599331526070936
