dataset,widths,p_connect,residual,seed,epoch,acc,tc_sum,tc_l1,tc_l2
xor,"(8, 8)",1.0,False,0,1,0.551219512195122,35.2233772277832,18.51129722595215,16.712080001831055
xor,"(8, 8)",1.0,False,0,2,0.6341463414634146,33.951080322265625,17.78152084350586,16.169559478759766
xor,"(8, 8)",1.0,False,0,3,0.7268292682926829,32.94691753387451,17.11210060119629,15.834816932678223
xor,"(8, 8)",1.0,False,0,4,0.7268292682926829,31.64051342010498,16.636987686157227,15.003525733947754
xor,"(8, 8)",1.0,False,0,5,0.824390243902439,30.913814544677734,16.86336898803711,14.050445556640625
xor,"(8, 8)",1.0,False,0,6,0.8341463414634146,28.154064178466797,15.245194435119629,12.908869743347168
xor,"(8, 8)",1.0,False,0,7,0.8341463414634146,25.23420238494873,13.537599563598633,11.696602821350098
xor,"(8, 8)",1.0,False,0,8,0.8390243902439024,23.23829460144043,12.371513366699219,10.866781234741211
xor,"(8, 8)",1.0,False,0,9,0.8439024390243902,22.059972763061523,11.663529396057129,10.396443367004395
xor,"(8, 8)",1.0,False,0,10,0.848780487804878,20.98906421661377,11.09444522857666,9.89461898803711
xor,"(8, 8)",1.0,False,0,11,0.8634146341463415,20.223024368286133,10.675008773803711,9.548015594482422
xor,"(8, 8)",1.0,False,0,12,0.8634146341463415,19.55276584625244,10.354808807373047,9.197957038879395
xor,"(8, 8)",1.0,False,0,13,0.8634146341463415,19.096985816955566,10.128793716430664,8.968192100524902
xor,"(8, 8)",1.0,False,0,14,0.8634146341463415,18.799660682678223,9.971242904663086,8.828417778015137
xor,"(8, 8)",1.0,False,0,15,0.8731707317073171,18.59076690673828,9.896537780761719,8.694229125976562
xor,"(8, 8)",1.0,False,0,16,0.8731707317073171,18.422243118286133,9.827676773071289,8.594566345214844
xor,"(8, 8)",1.0,False,0,17,0.8731707317073171,18.319141387939453,9.838607788085938,8.480533599853516
xor,"(8, 8)",1.0,False,0,18,0.8731707317073171,18.247102737426758,9.798065185546875,8.449037551879883
xor,"(8, 8)",1.0,False,0,19,0.8731707317073171,18.08084774017334,9.791533470153809,8.289314270019531
xor,"(8, 8)",1.0,False,0,20,0.8780487804878049,18.0190486907959,9.762706756591797,8.256341934204102
xor,"(8, 8)",1.0,False,0,21,0.8682926829268293,17.982202529907227,9.828266143798828,8.153936386108398
xor,"(8, 8)",1.0,False,0,22,0.8731707317073171,17.930453300476074,9.799398422241211,8.131054878234863
xor,"(8, 8)",1.0,False,0,23,0.8731707317073171,17.862504959106445,9.828287124633789,8.034217834472656
xor,"(8, 8)",1.0,False,0,24,0.8731707317073171,17.70356035232544,9.779273986816406,7.924286365509033
xor,"(8, 8)",1.0,False,0,25,0.8731707317073171,17.616347312927246,9.706550598144531,7.909796714782715
xor,"(8, 8)",1.0,False,0,26,0.8780487804878049,17.569366931915283,9.673165321350098,7.8962016105651855
xor,"(8, 8)",1.0,False,0,27,0.8731707317073171,17.453357219696045,9.678141593933105,7.7752156257629395
xor,"(8, 8)",1.0,False,0,28,0.8731707317073171,17.324868202209473,9.581579208374023,7.743288993835449
xor,"(8, 8)",1.0,False,0,29,0.8682926829268293,17.379551887512207,9.635116577148438,7.7444353103637695
xor,"(8, 8)",1.0,False,0,30,0.8780487804878049,17.17686891555786,9.525590896606445,7.651278018951416
xor,"(8, 8)",1.0,False,0,31,0.8682926829268293,17.021728992462158,9.505290985107422,7.516438007354736
xor,"(8, 8)",1.0,False,0,32,0.8780487804878049,17.021799564361572,9.506912231445312,7.51488733291626
xor,"(8, 8)",1.0,False,0,33,0.8780487804878049,16.941184043884277,9.441880226135254,7.499303817749023
xor,"(8, 8)",1.0,False,0,34,0.8731707317073171,16.781924724578857,9.390470504760742,7.391454219818115
xor,"(8, 8)",1.0,False,0,35,0.8682926829268293,16.619297981262207,9.306625366210938,7.3126726150512695
xor,"(8, 8)",1.0,False,0,36,0.8780487804878049,16.532424449920654,9.191213607788086,7.341210842132568
xor,"(8, 8)",1.0,False,0,37,0.8878048780487805,16.45026683807373,9.171695709228516,7.278571128845215
xor,"(8, 8)",1.0,False,0,38,0.8634146341463415,16.204615116119385,9.091694831848145,7.11292028427124
xor,"(8, 8)",1.0,False,0,39,0.8634146341463415,16.080554962158203,8.991941452026367,7.088613510131836
xor,"(8, 8)",1.0,False,0,40,0.8829268292682927,16.07764959335327,8.986479759216309,7.091169834136963
xor,"(8, 8)",1.0,False,0,41,0.8926829268292683,16.035629749298096,8.996760368347168,7.038869380950928
xor,"(8, 8)",1.0,False,0,42,0.8780487804878049,15.989234924316406,8.977346420288086,7.01188850402832
xor,"(8, 8)",1.0,False,0,43,0.8780487804878049,15.903564929962158,8.91964340209961,6.983921527862549
xor,"(8, 8)",1.0,False,0,44,0.8731707317073171,15.786163330078125,8.883488655090332,6.902674674987793
xor,"(8, 8)",1.0,False,0,45,0.8878048780487805,15.79417371749878,8.866293907165527,6.927879810333252
xor,"(8, 8)",1.0,False,0,46,0.8878048780487805,15.741388320922852,8.833683013916016,6.907705307006836
xor,"(8, 8)",1.0,False,0,47,0.8780487804878049,15.704044342041016,8.81351089477539,6.890533447265625
xor,"(8, 8)",1.0,False,0,48,0.8634146341463415,15.599528312683105,8.746238708496094,6.853289604187012
xor,"(8, 8)",1.0,False,0,49,0.8682926829268293,15.606727600097656,8.767282485961914,6.839445114135742
xor,"(8, 8)",1.0,False,0,50,0.8731707317073171,15.697187423706055,8.735124588012695,6.962062835693359
